Date Added,Company,Ticker
2020-12-18,Tesla,TSLA
2021-05-14,Charles River Laboratories,CRL
2021-06-21,Moderna,MRNA
2021-08-30,Bio‑Techne,TECH
2021-09-20,Match Group,MTCH
2021-09-20,Ceridian,CDAY
2021-09-20,Brown & Brown,BRO
2021-12-14,EPAM Systems,EPAM
2021-12-20,Signature Bank,SBNY
2021-12-20,SolarEdge,SEDG
2021-12-20,FactSet,FDS
2022-02-15,Invitae,NVTA (or similar) – [Nordson? unclear]
2022-03-02,Constellation Energy,CEG
2022-05-02,Molina Healthcare,MOH
2022-06-04,Vici Properties,VICI
2022-06-21,ON Semiconductor,ON
2022-10-12,Targa Resources,TRGP
2022-12-19,First Solar,FSLR
2022-12-22,Steel Dynamics,STLD
2023-01-04,GE HealthCare,GEHC
2023-03-15,Bunge Limited,BG
2023-03-15,Insulet Corporation,PODD
2023-03-20,Fair Isaac,FI
2023-05-04,Axon Enterprise,AXON
2023-06-20,Palo Alto Networks,PANW
2023-08-25,Kenvue,KVUE
2023-09-18,Airbnb,ABNB
2023-09-18,Blackstone,BLK
2023-10-02,Veralto,VLTO
2023-10-18,Hubbell Incorporated,HUBB
2023-10-18,Lululemon,LULU
2023-12-18,Builders FirstSource,BFR
2023-12-18,Jabil,JBL
2023-12-18,Uber,UBER
2024-03-18,Deckers Outdoor,DECK
2024-03-18,Super Micro Computer,SMCI
2024-04-01,Solventum,SOLV
2024-04-02,GE Vernova,GEV
2024-05-08,Vistra Corporation,VST
2024-06-24,KKR & Co.,KKR
2024-06-24,CrowdStrike Holdings,CRWD
2024-06-24,GoDaddy,GDDY
2024-09-23,Palantir Technologies,PLTR
2024-09-23,Dell Technologies,DELL
2024-09-23,Erie Indemnity,ERIE
2024-11-26,Texas Pacific Land,TPL
2024-12-23,Apollo Global Management,APO
2024-12-23,Workday,WDAY
2025-03-24,DoorDash,DASH
2025-03-24,TKO Group Holdings,TKO
2025-03-24,Williams‑Sonoma,WSM
2025-03-24,Expand Energy,EXE
2025-05-19,Coinbase Global,COIN
